symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
MUC13,0.13948157380388013,3.1946102645930123,2.6871593662766093,0.007391988657143433,0.03832571249999148,-2.7550124990867353
TSR2,-0.13396840636720214,7.38527238660465,-2.686857614468013,0.007398594167980516,0.03832571249999148,-2.7557832713861257
SUMO1,-0.2053995361990157,6.5721785205073004,-2.686852671133648,0.007398702424420909,0.03832571249999148,-2.755795897566521
SUMO3,-0.19052982488711423,6.866066139218547,-2.6863928443808915,0.007408778619913129,0.038355411940839836,-2.7569702799752727
PLOD3,-0.16815407327567822,6.667083404786492,-2.6858848952821437,0.007419923661982331,0.0383906067853708,-2.758267336996216
HBEGF,0.1378292592968086,3.7204056497905604,2.6852447232349075,0.007433991309477845,0.03844087309444282,-2.759901686340624
PSMA5,-0.21001763585817232,7.588140843998695,-2.684843045900883,0.007442830322917864,0.03846405933997108,-2.760926968027455
GYPE,0.09014012274590963,3.2605185807722674,2.6845540550501616,0.007449195483861001,0.038474441235941736,-2.761664524692607
GPRC5A,-0.4140670792309818,7.817103359187489,-2.684278159379219,0.00745527678269933,0.038483345730450313,-2.762368587726059
TRAM1,-0.25405384443338597,7.476847626866741,-2.6838786182566334,0.0074640913887230355,0.03850634062219734,-2.763388058445222
ARMC9,0.1492331535493689,4.135439191281886,2.6827318924521957,0.007489442305132496,0.03861456768180398,-2.7663132251124165
PLA2G7,-0.25715245623964994,5.284532682673609,-2.682485474678876,0.007494900008125893,0.03862016153545384,-2.766941649300521
ATP6V1B1,-0.1867123143890598,3.2767837173362655,-2.68155286302243,0.007515588032073872,0.03870418279841192,-2.769319521144525
PRODH2,0.1046968986967707,3.270412314018347,2.6802385342021346,0.007544830782003812,0.038786344120710914,-2.7726692823527563
NUP153,-0.18967887705345074,6.903546142889348,-2.6802177415300528,0.007545294222593525,0.038786344120710914,-2.7727222626566936
CHRND,0.13046478069525705,3.4498657459927586,2.6800935701077364,0.0075480623685785,0.038786344120710914,-2.7730386465171013
LPGAT1,-0.23294532303159854,7.276780296895147,-2.680046657881123,0.007549108417516085,0.038786344120710914,-2.7731581732826363
POU4F3,-0.05200238265406741,3.2144532503837393,-2.6783424858540137,0.007587196487472778,0.038959371731023006,-2.777498814611062
CDH10,0.13352723422759966,3.2465515250977317,2.6778021713674556,0.00759930846408917,0.038998891548422746,-2.778874468853824
PIGH,-0.1920624635257484,4.556524748719625,-2.6768384851465856,0.007620954100923432,0.03905861336167544,-2.781327364948445
GYG1,-0.1840605207959828,7.676875870179681,-2.6767537474813854,0.007622860065456704,0.03905861336167544,-2.781543008709554
PLCE1,0.2323228040923715,3.7394889458585214,2.676590756959655,0.007626527338984057,0.03905861336167544,-2.7819577746793667
FOXA1,-0.4481693670739748,7.140808085376058,-2.6764970959061536,0.007628635422202234,0.03905861336167544,-2.7821961050889485
FSCN2,0.0816468532568617,3.432965071276433,2.675453196310403,0.007652166531452383,0.0391563932826115,-2.7848518659041925
ERCC1,0.15429168739232998,7.100908465054587,2.6739177205844316,0.007686897035354141,0.03931133446221643,-2.788756394468588
TPT1,0.15622116825317264,12.239602780811628,2.6735342294253814,0.007695593186362219,0.03932895228804823,-2.7897312241371717
USP13,-0.21058931565083178,6.204275412481635,-2.6733731712940236,0.007699248019252196,0.03932895228804823,-2.7901405911260238
GAS2,0.1355167527482727,3.1494078409362776,2.672952401228714,0.007708803758492413,0.039355002771679186,-2.791209963140237
SRP19,-0.147433477425368,8.622945999877816,-2.6725871794460447,0.00771710662461967,0.03936065844460771,-2.7921380278383965
DPEP1,0.08767576777192412,3.5098235570407295,2.672477135403596,0.007719609914324562,0.03936065844460771,-2.7924176363466358
IFIT3,-0.2891938667284356,6.714566748732857,-2.6723157968959943,0.007723281372792703,0.03936065844460771,-2.7928275575031916
ANKRD40,-0.12034693412856558,5.315365048969368,-2.6710122153726186,0.007753003572299357,0.039478277283549176,-2.7961387479137807
FBXO9,0.20048180241096356,6.444486665259008,2.670911676218529,0.007755300168360261,0.039478277283549176,-2.7963940589834744
PDE1C,0.14186042294671347,3.4608334069736477,2.6703231745430336,0.0077687554559364436,0.039523990891031494,-2.797888323123876
MAGEA10,0.10070732579544098,3.0077628020451077,2.669890457797006,0.0077786623054447585,0.03955160937345314,-2.798986828581668
MMRN1,0.15414198272020033,3.6839136419848275,2.6693167471467114,0.007791814638177914,0.03959568865614922,-2.800442996416419
CDH15,-0.14184388523651664,3.0888074800736307,-2.6681781881085094,0.007817975295750386,0.03970578367571444,-2.803331932560073
TWSG1,-0.18342164753776521,5.037842609655048,-2.666096849121046,0.007866002151927664,0.03990636935623101,-2.808609928892454
TRAIP,0.07218824243128517,3.3307599950148106,2.6660750349886535,0.007866506912273346,0.03990636935623101,-2.8086652252889506
EPHA2,0.12307714419371198,3.660066073860562,2.6658749983356724,0.007871136945414308,0.03990693542014878,-2.8091722753099413
PCTP,-0.226732160682323,6.041950794636743,-2.665443264981078,0.007881138152746957,0.039934717249031054,-2.8102665000582268
DIP2A,0.15801870052781034,7.591048565214402,2.6650557220011843,0.007890125395128752,0.03993884133564323,-2.811248577133107
NRP1,0.2584676833160647,5.634910462036247,2.665018194192059,0.007890996165160489,0.03993884133564323,-2.81134366936944
TAS2R8,0.06674611959252347,3.4945909836398186,2.66447556655161,0.007903596578371239,0.03997970502873698,-2.8127184948079567
GGA1,-0.15625713803631508,7.241275465753148,-2.662954181764965,0.007939021189686086,0.040135910215974534,-2.8165716836848906
HOXB13,-0.16905041605132054,3.106878754289228,-2.662440575169705,0.007951012378818472,0.040173536229819645,-2.817872001909858
CPSF1,-0.2268510186981645,5.69144663261086,-2.6620583571796574,0.007959946582677452,0.04019568222882062,-2.8188395192824114
RBM23,0.1643552764836262,7.239107036383933,2.6611321616580965,0.00798163344547356,0.040261913469956306,-2.821183456646677
NOX1,0.10436118804355402,3.2103123918616077,2.6610172026664634,0.007984328906043277,0.040261913469956306,-2.821474329532124
HSF2BP,0.12696710232047412,3.293003242990731,2.660914474926882,0.007986738269855463,0.040261913469956306,-2.8217342441244466
USF2,-0.17097975471411378,7.104127042114007,-2.660618985033219,0.007993672292192564,0.04027388116636892,-2.822481817453285
NT5DC3,0.13062330452508863,3.610249814010801,2.6598775752361767,0.008011094148698867,0.04032451907134735,-2.8243571866036588
ARPC3,-0.16774560171703096,9.482223521974383,-2.659791167450586,0.008013126798861169,0.04032451907134735,-2.8245757187194895
C15orf44,-0.09418214968541035,6.089063998060115,-2.6596087186109263,0.008017420232029658,0.04032451907134735,-2.8250371234536082
DOK5,0.24252460338784687,4.150140669435167,2.658731336716891,0.008038095859151597,0.040395419001304125,-2.8272555498471243
RPS29,-0.190581006622932,11.86882441359068,-2.6584300219681545,0.008045207413741373,0.040395419001304125,-2.828017247563744
MOS,0.08178953097840452,3.3393016690368054,2.6580739132259055,0.008053619481779425,0.040395419001304125,-2.8289173509787595
SLC25A4,-0.17079571192851412,6.735061581200795,-2.6580616087936737,0.00805391028042612,0.040395419001304125,-2.8289484496572666
SERINC1,-0.21675611908040962,9.056822061696018,-2.658041501299619,0.008054385514186658,0.040395419001304125,-2.8289992697808697
NDUFS5,-0.17632604385393497,9.767784212046543,-2.6575540920020524,0.008065912967356205,0.040430274306293985,-2.830231043825216
IRF5,-0.18391936677370274,4.255595339102638,-2.657258655778727,0.00807290737367347,0.040442381125515646,-2.830977558687517
ZNF45,0.17506343115350376,5.375486909816415,2.6566382308672387,0.00808761355493531,0.040493085553961826,-2.8325449981746718
GNPDA1,-0.1599600910377857,7.187506426946695,-2.6562446929056294,0.008096954198721345,0.04051688355983395,-2.833539045764146
STK39,-0.3210266352381048,6.5359483497525135,-2.6556273767536775,0.008111625731040588,0.04056731509430944,-2.8350980503977214
STEAP4,0.30849962201463665,4.4240641806460514,2.655117071396105,0.00812377197998997,0.040596282540440225,-2.8363865365768297
TTLL5,0.16408944650227916,5.810452832667107,2.6549978970866435,0.008126610907098994,0.040596282540440225,-2.8366874087055316
GALNT6,-0.4355475196486915,7.274187715675315,-2.6545176980777967,0.008138059054648185,0.04063049042999026,-2.8378996041644675
CCDC99,0.15022981681456307,4.140542143286219,2.6541454758370318,0.008146942942584435,0.04065186444570945,-2.8388390798619727
VDR,0.20973722615541032,6.677256270159139,2.652271940408028,0.008191791158694475,0.04085256889530751,-2.8435658611459944
